color,constituency,groups,id,party,partywon,pcid,states,vote_count_num,votecount,winner,winner_2014_bangali
#4099CF,Andaman and nicobar islands,UPA,13,Indian National Congress,13,#PC531,Andaman and nicobar islands,95308,Won,Kuldeep Rai Sharma,Bishnu Pada Ray (BJP)
#45266b,Amalapuram,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC24,Andhra Pradesh,485313,Won,Chinta Anuradha,Dr Pandula Ravindra Babu (TDP)
#45266b,Anakapalli,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC22,Andhra Pradesh,586226,Won,Dr Venkata Satyavathi,Muttamsetti Srinivasa Rao (Avanthi) (TDP)
#45266b,Anantapur,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC36,Andhra Pradesh,695208,Won,Talari Rangaiah,J.C. Divakar Reddi (TDP)
#45266b,Araku,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC18,Andhra Pradesh,557561,Won,Madhavi,Kothapalli Geetha (YSRCP)
#45266b,Bapatla,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC32,Andhra Pradesh,598257,Won,Nandigam Suresh,Malyadri Sriram (TDP)
#45266b,Chittoor,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC42,Andhra Pradesh,686792,Won,Reddppa,Naramalli Sivaprasad (TDP)
#45266b,Eluru,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC27,Andhra Pradesh,676809,Won,Kotagiri Sridhar,Maganti Venkateswara Rao (Babu) (TDP)
#f1c73f,Guntur,Third Front,34,Telugu Desam,34,#PC30,Andhra Pradesh,587918,Won,Galla Jayadev,Jayadev Galla (TDP)
#45266b,Hindupur,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC37,Andhra Pradesh,706602,Won,Gorantla Madav,Kristappa Nimmala (TDP)
#45266b,Kadapa,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC38,Andhra Pradesh,783799,Won,YS Avinash Reddy,Y.S. Avinash Reddy (YSRCP)
#45266b,Kakinada,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC23,Andhra Pradesh,537630,Won,vanga Geetha,Thota Narasimham (TDP)
#45266b,Kurnool,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC35,Andhra Pradesh,602554,Won,Sanjeev Kumar,Butta Renuka (YSRCP)
#45266b,Machilipatnam,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC28,Andhra Pradesh,571436,Won,Vallabhaneni Bala Souri,Konakalla Narayana Rao (TDP)
#45266b,Nandyal,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC34,Andhra Pradesh,720888,Won,P Brahmananda Reddy,S.P.Y Reddy (YSRCP)
#45266b,Narasaraopet,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC31,Andhra Pradesh,745089,Won,Lavu Krishnadevarayulu,Sambasiva Rao Rayapati (TDP)
#45266b,Narsapuram,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC26,Andhra Pradesh,447594,Won,K Raghurama Krishnam Raju,Gokaraju Ganga Raju (BJP)
#45266b,Nellore,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC39,Andhra Pradesh,683830,Won,Adala Prabhakar Reddy,Mekapati Rajamohan Reddy (YSRCP)
#45266b,Ongole,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC33,Andhra Pradesh,739202,Won,Magunta Srinivasulu Reddy,Y.V.Subba Reddy (YSRCP)
#45266b,Rajahmundry,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC25,Andhra Pradesh,582024,Won,Margani Bharath,Murali Mohan Maganti (TDP)
#45266b,Rajampet,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC41,Andhra Pradesh,702211,Won,PV Midun Reddy,P.V.Midhun Reddy (YSRCP)
#f1c73f,Srikakulam,Third Front,34,Telugu Desam,34,#PC19,Andhra Pradesh,534544,Won,K Ram Mohan Naidu,Rammohan Naidu Kinjarapu (TDP)
#45266b,Tirupati,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC40,Andhra Pradesh,722877,Won,Balle Durgaprasad,Varaprasad Rao Velagapalli (YSRCP)
#f1c73f,Vijayawada,Third Front,34,Telugu Desam,34,#PC29,Andhra Pradesh,575498,Won,Kesineni Srinivas alias Nani,Kesineni Srinivas (Nani) (TDP)
#45266b,Visakhapatnam,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC21,Andhra Pradesh,436906,Won,MVV Satyanarayana,Kambhampati Hari Babu (BJP)
#45266b,Vizianagaram,Others,35,Yuvajana Sramika Rythu Congress Party,35,#PC20,Andhra Pradesh,578418,Won,Bellani Chandrasekhar,Ashok Gajapathi Raju Pusapati (TDP)
#f49921,Arunachal East,NDA,8,Bharatiya Janata Party,8,#PC44,Arunachal Pradesh,153883,Won,Shri Tapir Gao,Ninong Ering (INC)
#f49921,Arunachal West,NDA,8,Bharatiya Janata Party,8,#PC43,Arunachal Pradesh,204553,Won,Shri Kiren Rijiju,Kiren Rijiju (BJP)
